sentence	label
who was president cleveland 's wife 	3
how does cos cob ct get its name 	0
about how many soldiers died in world war ii 	5
who is the `` queen mother '' 	3
how long does james bond like his eggs boiled 	5
what kind of creatures are the canary islands named for 	1
where does buzz aldrin want to build a permanent manned space station 	4
who created the character of scrooge 	3
how can i transport files from one computer to another 	0
what substance did joseph priestley name for its ability to erase pencil marks 	1
what is the meaning of w b yeat 's poem `` the three hermits '' 	0
what famed library can you reach by dialing 22 287 5 	4
name a golf course in myrtle beach 	1
where can i buy a good snowboard for less than 200 	4
how long was the longest sneezing attack 	5
who invented the process to make condensed milk 	3
who was william henry harrison 	3
what 's men 's par on a 455 yard golf hole 	5
what is the horsepower of the shuttle boosters 	5
who was the prophet of the jewish people 	3
what is `` dew point '' 	0
what are chloroplasts 	0
how does food color affect how you think it will taste 	0
what are all the different types of pizza 	1
what was the first country to put a second woman in space 	4
how do i legally make my own will and testament 	0
who coined the term nn cyberspace `` in his novel nn neuromancer '' 	3
how can you be happy 	0
how many leos have been pope 	5
what singer 's theme song was when the moon comes over the mountain 	3
who was the author of the book about computer hackers called `` the cuckoo 's 	3
how long has l l cool j been married 	5
how much is clara peller being paid by wendy 's to say `` where 's 	5
how many small businesses are there in the united states 	5
who reports the weather on the `` good morning america '' television show 	3
what world war ii leader declared `` the blow has been struck '' 	3
what feminist wrote sexual politics and flying 	3
how many members are in the california congressional delegation 	5
what erupts every hour at yellowstone national park 	4
what is the origin of the ethnic category `` caucasian '' 	0
what was the reason for the partition of the anglican and vatican churches 	0
how many grammys did michael jackson win in 1983 	5
what is dew point 	0
why was washington dc originally called district of columbia 	0
how many people died on d day 	5
what is the meaning of `` subaru '' 	0
which radio stations air the jim bohannon radio talk show 	3
why does a woman have to be a virgin to be a nun 	0
what is a turnkey contract 	0
what is the origin of head lice 	0
what are the names of the different toes 	1
what are the four most widely used languages in north america 	1
what is columbia tristar 's phone number 	5
what country surrounds san marino the world 's smallest republic 	4
what is a fear of fur 	1
what 's the better known identity of john merrick the noble ogre of victorian england 	3
what school does tom attend in tom brown 's school days 	3
how can people from ireland come to the u s work and then return to 	0
who wrote the sci fi trilogy foundation foundation and empire and second foundation 	3
what 's the olympic motto 	0
what organization was founded by the rev jerry falwell 	3
where did the name root beer come from 	0
what effect does friction have on perpetual motion 	0
how many beanie baby sites are there 	5
what is the name of the indian who became prime minister by beating mrs gandhi 	3
what is the difference between a median and a mean 	0
which comic book was not spawned directly from the pulp magazines 	1
how many oceans are there and name them 	5
what developed a crack in 1835 while tolling the death of u s chief justice 	1
what is tumbled marble 	0
what grand slam golf tournament wasn 't held between 1940 and 1945 	1
where is the rose bowl played 	4
what tv quiz show left the air in 1975 to the tune of vera lynn 	1
who was quetzalcoatl 	3
how old was sir edmund hillary when he climbed mt everest 	5
what king boycotted prince charles 's wedding 	3
what 's the only east european country not tied to the ruble 	4
what spider makes a superb pet even said to recognize its master 	1
what keeps clouds in the air 	1
what ocean did the titanic sink in 	4
what is a courier 	0
what is a research expedition in mountain climbing 	1
how many square feet is bill gates ' home 	5
what is the city in which maurizio pellegrin lives called 	4
what is the smallest country in africa 	4
what do you get by adding lactobacillus bulgaricus to milk 	1
what hard of hearing artist painted sunflowers 	3
which college did dikembe mutombo attend 	3
what tv family sometimes buys eclairs from nelson 's bakery 	3
how many of them are in sub saharan africa 	5
what does a topophobic actor suffer from 	1
where is los vegas 	4
how much did varian associates try to sell its vacuum products division to the boc 	5
how many grooves are on a dime 's edge 	5
what is a fear of hell 	1
describe the finnish music personality salonen 's appearance 	0
what is real time processing 	0
what do opposite faces of a die always add up to 	1
what creature scares people in the film `` jaws '' 	1
in what olympic games did nadia comaneci become popular 	1
what disease plagued europe africa and asia 	1
what is the largest variety of cactus 	0
how do i start a bank 	0
where is inoco based 	4
what 's the first day of the week 	5
who was the first coach of the cleveland browns 	3
what is a fear of points 	1
what city is near the mouth of the amazon 	4
which of the following men was not married to rita hayworth 	3
where do rocks come from 	0
what corporation does madonna advertise for 	3
name one of the seven wonders of the ancient world 	1
which of the five senses develops first 	1
what is graduate school 	0
who invented the road traffic cone 	3
how many elevators do you ride to reach the top floor of the empire state 	5
who designed london bridge 	3
what is the difference between a college and a university 	0
what term does a czech use to describe a pole 	1
what 's the slowest olympic swimming stroke 	1
who wrote `` the pit and the pendulum '' 	3
what does ph stand for 	2
how does it make its colors 	0
what is the definition of cecum 	0
what is the name of the vaccine for chicken pox 	1
how can you define time 	0
what group included abbey hoffman jerry rubin and tom hayden 	3
when was franklin d roosevelt stricken with polio 	5
what state is john f kennedy buried in 	4
what kind of weapons were used in medieval warfare 	1
how many millimeters are in a mile 	5
what son of a 15 year old mexican girl and a half irish father became 	3
what year did degas create the bronze sculpture `` fourth position front '' 	5
what makes thunder 	0
what amount of money did the philippine ex dictator marcos steal from the treasury 	5
what is barnstorming 	0
which major diamond producer is based in south africa 	3
how many websites are there in the world 	5
what is the nickname of the famous flyer who mistakenly flew to ireland instead of 	3
how did shipyard inspector james j kilroy designate equipment as being satisfactory 	0
what tv show chronicled the lives of katy holstrum and congressman glen morley 	1
what constellation represents a hunter with club and shield 	4
how many south american countries have the letter z in their names 	5
what is the nickname of pennsylvania 	4
how do you select wine 	0
what is a fear of strong light 	1
what bowl game began as an east west contest between michigan and stanford in 192 	1
what wrestling star became `` the incredible hulk '' 	3
how much did alaska cost when bought from russia 	5
how many years did shea gould practice law in los angeles 	5
what harmful chemicals are in bug spray 	1
independent silversmith 's account for what percentage of silver production 	5
what does the six footed musca domestica become when it enters a house 	1
name the disposable razor that `` costs about 19 cents '' 	1
what year did germany sign its nonaggression pact with the soviet union 	5
what city is the kentucky horse park near 	4
how many lawyers are there in the state of new jersey 	5
what are some translations of the phrase `` thank you '' 	1
what film dramatized the scopes monkey trial 	1
how much of the nation 's children between the ages of two and eleven watch 	5
what are the wolverine habits 	1
where can i find a case on individuals with disabilities education act of 1991 	4
what vehicles are raced in the tour de france 	1
what contemptible scoundrel stole the cork from my lunch 	3
who was the most famous food editor of the new york times 	3
how can i get some free technical information on electric vehicle 	0
where can i find a person 's address from a telephone number 	4
what 's the geographic term for the submerged fringe of a continent 	1
what kind of hat does bat masterson wear 	1
where can i find scientific data `` research papers '' on textile engineering 	4
shea and gould closed their los angeles office for what reason 	0
how many islands does fiji have 	5
what color bottles do good rhine wines come in 	1
what four elements make up 90 percent of the human body 	1
what kind of car did janis joplin ask the lord to buy her 	1
what are the environmental influences on plant genetics 	0
how many dots make up the symbol for `` because '' 	5
how many people live in chile 	5
what is a mexican hairless 	0
what state was named the green mountain state 	4
what did the pyramid builders of egypt mainly eat 	1
what jules verne novel features scientists held captive in the submarine nautilus 	1
what is the name of the dog on the cracker jack box 	1
what 's the motto of the boy scouts 	0
what mythical figure carries an hourglass and a scythe 	3
what are the `` star wars '' satellites 	0
how many of every 10 members of the rodeo cowboys association have never worked a 	5
what continent pushes up the executive committee mountain range 	4
what was mark johnson referring to when he said `` i still can 't believe 	1
what interesting method was used to run the credits in the early popeye cartoons 	1
what is the world 's largest distilling company 	3
where is poe 's birthplace 	4
how many flavors does baskin robbins offer 	5
what businesses in alaska were affected by the exxon valdez oil spill 	3
what is the vdrl test of blood 	0
how do you get a pointsettia to turn red 	0
how many members of a family could be drafted in the u s military during 	5
what do you call a book of quotes 	1
what is the nickname of the cleveland indians 	1
what do you call a `` twirl '' in ballet 	1
how can anyone tell if a female had sexual intercourse 	0
how many electoral college votes does colorado have 	5
how do microwaves work 	0
what james michener book is subtitled spanish travels and reflections 	1
how do ants have sex 	0
what is the average date when most malls begin putting up christmas holiday decorations 	5
what is narcolepsy 	0
when did charles lindbergh die 	5
how long did the charles manson murder trial last 	5
who was the actor who played sam in the movie casablanca 	3
what color eyes are most sensitive to light 	1
what is the most useful site on the internet 	4
what eastern state sprouted the first commercial nuclear power plant in the u s 	4
rotary engine cars were made by what company 	3
what are the main blood vessels 	1
what is the brightest star visible from earth 	4
what are arnold palmer 's fans called 	3
what are the benefits of a rowing machine 	0
name the french historical period during the reign of napoleon iii 	1
what do river otters eat 	1
who is the one independent member of congress 	3
what is the exchange rate between england and the u s 	5
how many bottles of wine were prisoners in the bastille allowed per day 	5
how did rocky marciano die 	0
what is the spectrum of a sine wave 	0
what are the 7 principles of learning from the institute for research on learning irl 	1
what sport can a free legged pacer compete in 	1
what u s state borders illinois to the north 	4
in what high risk business venture did jimmy the greek bet and lose 	3
why do pharmacists work on raised floors 	0
what time of year is air travel the heaviest 	5
how do they raise the cranes when building high rise buildings 	0
what cigarette is `` a whole new world '' 	1
what u s university boasts the largest library 	3
what is another term for the painful wrist syndrome 	1
what role do fruits play in the survival of plants 	3
approximately how much does a teaspoon of matter weigh in a black hole 	5
what did a 16th century aztec athlete get for putting a rubber ball through a 	1
who is the richest person in the world without owning a business 	3
what capital is built around monument circle which contains soldiers and sailors monument 	4
what 's a male witch called 	1
what is a term for behavior appearance or expression that violates the accepted standards of 	1
what are dingoes 	0
what city was president william mckinley shot in 	4
what chess outcome results when a player has no legal move 	1
how do i make fuel bricks from recycled newspaper 	0
how many years make up a lustrum 	5
where 's the petrified forest 	4
when did jaco pastorius die 	5
what fastener did whitcomb judson patent in 1893 	1
what country offered albert einstein its presidency in 1952 	4
what is the origin of the term soda jerk 	0
what is a language spoken by the sioux 	1
how long would it take to get from earth to mars 	5
what was jimmy durante 's theme song 	1
what country was the setting of you only live twice 	4
where can i find a tape or book to help me say write and understand 	4
what was george washington afraid of 	1
what are the distinct physical characterstics of the arabian horse 	0
what does a deltiologist collect 	1
what was the name of aristotle onassis 's yacht 	1
what geological time do we live in 	5
what causes the redness in your cheeks when you blush 	0
what 's the biggest selling u s magazine aimed at a black audience 	1
how do you get a girl to have sex with you 	0
why can 't ostriches fly 	0
what is colin powell best known for 	0
how do you calculate the change in enthalpy of a chemical reaction 	0
what is sound 	0
what island is home to statues called mauis 	4
what is `` the soft drink for adults '' 	1
what two vegetables are combined in succotash 	1
what is the only vegetable that starts with `` z '' 	1
where can i find information on the cyclone that hit new jersey on 8 28 	4
what does appropriates money mean 	0
who was the captain of the tanker exxon valdez involved in the oil spill in 	3
who is the fastest swimmer in the world 	3
what is the origin of the term `` the brooklyn side '' in bowling 	0
what does an emperor do 	0
what is the nursery rhyme rock a by baby about 	0
who painted `` soft self portrait with grilled bacon '' 	3
how does crosstalk relate to insb thickness in infrared detectors 	0
what was a mae west on a world war ii battleship 	0
what effects do nitrates have on the environment 	0
how does james bond like his martinis 	0
who taught matt murdock to use his extraordinary abilities in marvel comics 	3
what is the origin of the word `` teddy bear '' 	0
what were popular songs and types of songs in the 1920s 	1
what two presidents of the u s published books of poetry 	3
how does a chick breathe inside an egg 	0
which leg does a cat move with its left front leg when walking its left 	1
how did the tradition of best man start 	0
how many thousands of students attend the university of massachusetts 	5
what was mao 's second name 	3
who is the creator of `` the muppets '' 	3
who was known as the time master in comic books 	3
name a product that controls the ripening of apples 	1
when mighty mouse was conceived what was his original name 	3
what ill fated american general dragged a bull terrier named willie through world war ii 	3
what are the most common breeding birds in the u s 	1
what is a glory hole 	0
where 's the gum department store 	4
what are the poconos 	0
what is a fear of sinning 	1
what nevada center has been dubbed the biggest little city in the world 	4
what is ram in the computer 	2
when was dubai 's first concrete house built 	5
what was queen victoria 's title regarding india 	3
who has won the most super bowls 	3
who made the first airplane that could fly 	3
what army was founded by william booth and his wife catherine 	3
what game do steve mcqueen and edward g robinson play in the cincinnati kid 	1
what ocean is the largest in the world 	4
what river does the grand coulee dam dam 	4
how often are quadruplets born 	5
what are pushed and coupled in hump yards 	1
what is the real name of the singer madonna 	3
what were the three prophecies the witches make to macbeth 	0
what is the islamic equivalent of the red cross 	1
what is the origin of a m and p m 	0
what country buys 25 percent of the world 's tea exports 	4
what is a fear of rejection 	1
what robust u s president imported his own instructor after seeing a judo match 	3
on what river is strasbourg built 	4
when was the triangle shirtwaist fire 	5
what asian gulf were the destroyers maddox and c turner joy shot up in 	4
what software offers inventors use of cad like design 	1
how many characters makes up a word for typing test purposes 	5
what do the red and white stripes on a barbershop pole stand for 	0
what is the oldest building in the united states 	4
what does caliente translate to in english 	1
what film featured a snarly character named kid shelleen 	1
what instrument does benny carter play 	1
what sport is known for hooligans 	1
what was the verdict in the trial of lizzie borden 	0
how did the u s come into the possession of an empire in the wake 	0
what does venus retrograde mean 	0
what kind of animal is babar 	1
where is the oldest living thing on earth 	4
what was the name of randy craft 's lawyer 	3
what does the word affiant mean 	0
what is dry ice 	0
what 's the fahrenheit equivalent of zero degrees centigrade 	5
when was the first flush toilet invented 	5
what comedian was born allen stewart konigsberg 	3
what wheel did blaise pascal invent in a search for perpetual motion 	1
how many horses are there on a polo team 	5
what kind of education do i need to become a flight attendant 	1
when did israel begin turning the gaza strip and jericho over to the plo 	5
how high is the city of denver 	5
how many islands make up antigua 	5
what are the five most popular usenet groups 	3
what university fired angela davis 	3
which one of the original seven mercury program astronauts did not fly on any of 	3
in what year was the cannon invented 	5
how do you become a dentist 	0
who says `` if you don 't look good we don 't look good '' 	3
which operating system runs on ibm compatible machines 	1
who was the king who was forced to agree to the magna carta 	3
what is a fear of worms 	1
where do you find information about the queensland national competition policy 	4
what u s state has the second longest coastline 	4
what rocky mountain ridge separates north america 's eastward and westward flowing rivers 	4
what 's the population of mississippi 	5
what is dr ruth 's last name 	3
how many cities are there in utah 	5
why do roosters sing at five o 'clock in the morning 	0
where in the americas is it only 47 miles from the atlantic to the pacific 	4
when did the jurassic period end 	5
name the two actress daughters of john mills 	3
what 's the maximum number of clubs a golfer may use in a round 	5
what drink is made up of rum coconut milk and pineapple 	1
what were the achievements of richard nixon 	1
what future president became senate majority whip under harry truman 	3
what fruit topped actress was known as the brazilian bombshell 	3
how do i find out the exact time of a sunset for a particular day 	0
how much can a person be fined for having a dog on a beach 	5
what is the weakest bone in the body 	1
what musical instrument did prewitt play in james jones 's from here to eternity 	1
how can i stop or slow down aging 	0
what chapter of the bible has the most verses 	5
what kenyan city is the safari center for east africa 	4
what makes a tornado turn 	0
what does the name `` sheri '' mean 	0
what mormon leader was said to have had 27 wives 	3
what are two plants that clothes are made from 	1
what was the first funk 'n lata brazilian group success 	0
where are the austerlitz and victor hugo subway stops 	4
name the on stage character whose face was never seen 	3
what foods contain vitamin b12 	1
what nationality is gorbachev 	4
what william makepeace thackeray novel was made into a film by stanley kubrick 	1
who was international olympic committee chairman at the 1936 summer games 	3
what is a certified nurse midwife 	0
who is currently the most popular singer in the world 	3
what was dwight eisenhower 's favorite card game 	1
what city gained renown for its pea soup fogs 	4
what georgia town did scarlett o 'hara condemn as being full of pushy people 	4
which rockefeller was sometimes called `` jdr3 '' 	3
who is the nebbish that is marvel 's official mascot 	3
what is splatterpunk 	0
what u s vice president said `` some newspapers dispose of their garbage by printing 	3
what is a `` repeating voter '' 	0
where does the u s get most of its energy 	4
what are the only players eligible to score points in roller derby called 	3
how much pizza do americans eat in a day 	5
what is the student population at the university of massachusetts in amherst 	5
how many warmup pitches does a reliever get coming into a baseball game 	5
what 1953 film won frank sinatra a best supporting actor oscar 	1
how many villi are found in the small intestine 	5
what is ` last chance for animals ' 	0
what is the origin of the peace symbol 	0
what are bear and bull markets 	0
what first aid product `` helps the hurt stop hurting '' 	1
where are the busiest ports in the world 	4
what is titanium 	0
how many continents are there 	5
where is the world 's most active volcano located 	4
how many years is johnnie walker black label aged 	5
how many fig newtons are there to the pound 	5
what is a devo hat 	0
where is the loop 	4
why is the universe flat if it started by an explosion shouldn 't it be 	0
what country 's capital was formed when pesth and buda merged 	4
name a gaelic language 	1
how many hummingbird eggs could fit in one ostrich egg 	5
how tall is the matterhorn 	5
where is erykah badu originally from 	4
what ability has the silkworm moth lost through domestication 	1
what is tetrinet 	0
what city would you be in if you were feeding the pigeons in the piazza 	4
what does the number 33 on the rolling rock beer bottle mean 	0
what is the highest mountain in the world 	4
what was the u s highway death toll in 1969 	5
what carries sperm up into the pelvic region 	1
what two european countries entered the war of american independence against the british 	4
what has to be produced in a writ of habeas corpus 	1
what north american city boasts the biggest polish population 	4
what 's the international radio code word for the letter f 	1
what is the movie jonathan livingstone seagull 	1
what was the name of the 1899 policy forced on china by which all nations 	1
how many chemical elements are there 	5
why were red m ms discontinued then brought back 	0
what does the name billie mean 	0
in 1990 what day of the week did christmas fall on 	5
what is linux 	0
what is the latitude and longitude of el paso texas 	5
what english word contains the most letters 	1
what dummy received an honorary degree from northwestern university 	3
what is the quickest and easiest way to get nail polish out of clothes 	1
what 4 foot 9 actress in 1984 became the first performer to win an oscar 	3
how many fingers are used to draw a bow 	5
what is the origin and the meaning of the name `` hajo '' 	0
what jockey won 17 triple crown races 	3
how much was the minimum wage in 1991 	5
what is a wop 	0
what country is mount everest in 	4
where did the ukulele originate 	4
what therapy attempts to elicit the `` primal scream '' 	1
who won the rugby world cup in 	3
what concerts are held in new york this week 	1
what is the u s location of procter gamble corporate offices 	4
name the four stories contained in edith wharton 's `` old new york '' 	1
who did doris day mean when she said `` i call him ernie because he 	3
what 's a short ton 	0
what game is fatal to anybody over 21 	1
what is meant by `` capital market '' 	0
what asian spiritual and political leader was married at the age of 13 	3
where did bocci originate 	4
what does the name calder mean 	0
who lived on the shores of the gitchee gumee river 	3
name the child left on a doorstep at the beginning of gasoline alley 	3
what must a las vegas blackjack dealer do when he reaches 16 	0
who built the first successful stern wheel steamboat 	3
the kentucky horse park is close to which american city 	4
what is the abbreviation of the international olympic committee 	2
how many freckles does howdy doody have on his face 	5
what does the name `` anthony '' mean 	0
when is bastille day 	5
what australian city became the home of the america 's cup 	4
how old was stevie wonder when he signed with motown records 	5
what were the first three cities to have a population of more than a million 	4
what country has the largest sheep population 	4
on which dates does the running of the bulls occur in pamplona spain 	5
what two caribbean countries share the island of hispaniola 	4
when will the millennium officially begin 	5
what was einstein 's iq 	5
who killed jfk 	3
what is the difference between microprocessors microcontrollers 	0
which city has the oldest relationship as a sister city with los angeles 	4
what are amphibians 	0
what state does martha stewart live in 	4
what have you not let a tennis ball do if you volley 	0
where are all european and american eels born 	4
what two us biochemists won the nobel prize in medicine in 1992 	3
what is the population of the largest chilean city 	5
what do chefs call the master spice 	1
what kind of creature is a coot 	1
what does a woman want 	1
what is the history of skateboarding 	0
what is a bourdon tube 	0
what is the difference between a preface and a foreword 	0
what famed river was hernando de soto the first european to see 	4
what else has the swastika stood for 	0
what is the difference between khaki and chino 	0
who retired with 755 home runs to his credit 	3
what scale measures earthquakes 	1
in dana 's `` two years before the mast '' what seafarers lived in an 	3
how many states have a `` lemon law '' for new automobiles 	5
what is the term for someone who hates mankind 	1
how many innings constitute an official baseball game 	5
how much would a black and white 1 cent stamp be worth thomas jefferson on 	5
how much energy is released when oxygen and hydrogen mix 	5
what city is the setting for puccini 's opera la boheme 	4
what 's the most common nickname of u s college football teams 	3
what information can you get me on fairground park in st louis 	0
what was the former residence of scottish kings in edinburgh 	4
how many species of the great white shark are there 	5
what are the 10 plagues of egypt 	1
what 's the abbreviation for trinitrotoluene 	2
what cards are bullets 	1
how much does it cost average or whatever is available to produce and send junk 	5
who created dennis the menace 	3
what are the seven wonders of the world 	1
what do the letters d c stand for in washington d c 	2
what was the target rate for m3 growth in 1992 	5
who were the only two bald u s presidents 	3
what can i do to get into an ivy league school 	0
who was the second man to walk on the moon 	3
what 1963 joseph l mankiewicz film cost 28 million 	1
what is the history of hot wheels cars and how are they produced 	0
what is a nematode 	0
what color was the hundred billionth crayon made by crayola 	1
what is the current unemployment rate in the u s 	5
what is a urologist 	0
what is a chinese `` spouting '' bowl 	0
what does ioc stand for 	2
how many superbowls have the ers won 	5
what is the difference between new york style and chicago style pizza 	0
what marx brothers movie centers on a stolen painting 	1
define cosmology 	0
which of the following rock 'n roll stars has a `` star '' on hollywood 	3
what company 's trademark was his master 's voice 	3
what phone number can i call to have a tree planted 	5
what is a person 's socioeconomic position 	0
what sea is bombay on 	4
where is melbourne 	4
what is the origin of the name katie 	0
what did the forward thinking simon brothers bakery of chicago insert into bagels to boost 	1
which japanese car maker had its biggest percentage of sale in the domestic market 	3
what animals do you find in the stock market 	1
what are kythnos siphnos seriphos and mykonos 	0
when did humans first begin to write history seriously 	5
how is the element strontium purified 	0
how does the chain of command work inside an us army apache helicopter 	0
what is the most widely cultivated plant 	1
what do i need to do to take my dog with me to live in 	0
where did surfing originate 	4
what is average salary of restaurant manager in united states 	5
what famed wall supports the badaling turret 	4
what 's the term for an organism that lives on or in another 	1
what president dispatched a cruiser to carry charles lindbergh home after his epic flight 	3
what do you call the feeling of having experienced something before 	1
why are lions called `` king of the jungle '' 	0
what are differences between 1980 and 1990 	0
what kinds of animals are in cambodia 	1
how many colonies did germany get to keep after world war i 	5
what is the location of edinburgh scotland 	4
what is a jake brake 	0
what common ailment can 't you catch at the north pole 	1
how many points are there on a backgammon board 	5
what 's mrs bridges 's job on tv 's upstairs downstairs 	3
how long would it take for a savings bond to mature 	5
what do you get by mixing gin and vermouth 	1
how many people did the united nations commit to help restore order and distribute humanitarian 	5
what poet wrote `` i have promises to keep and miles to go before i 	3
what kind of organization is ` last chance for animals ' 	3
what director made one silent and one sound version of the ten commandments 	3
what film marked robert redford 's directorial debut 	1
who was the inventor of the stove 	3
what are the 28 tenses in the english language 	1
who is the owner of cnn 	3
what bread company used to feature stickers of the cisco kid on the ends of 	3
what are the top boy names in the u s 	3
how do you say `` grandma '' in irish 	1
what color is most often used to symbolize truth 	1
what video game hero do some of his fans call chomper 	3
name the islamic counterpart to the red cross 	1
what is a phalanx 	0
what was the backup singing group for roy rogers 	3
what diamond producer controls about 80 of the world 's diamonds 	3
what kind of fish is a coney 	1
what are fingernails made of 	1
what are the five richest countries in the world 	4
how long ago did the anglican church part from the vatican 	5
what does saliva consist of 	1
what is the most important nation in the world historically 	4
where is the largest dam in the world 	4
what causes asthma 	0
who started the dominos pizza chain 	3
what is the name of actor rex harrison 's son who starred in a modestly 	3
what is supergirl 's secret identity 	3
what famed london criminal court was once a feudal castle 	4
what former major league left handed baseball pitcher was known as `` space man '' 	3
how many pounds are there in a stone 	5
what is the most popular sports car color 	1
what is the name of the planet that the ewoks live on 	4
what baseball player was walked the most times 	3
how does psorisis disappear 	0
what is the only primate to lack pigment in the palms of its hands 	1
what countries have the largest areas of forest 	4
what is the difference between pop music and rock and roll 	0
what is spaceball played on 	0
what police force did mack sennett create 	3
who headed hitler 's infamous gestapo 	3
how deep is a fathom 	5
how much do drugs to treat tuberculosis cost 	5
what part of your body contains the corpus callosum 	1
what is the one thing you need before you can purchase life insurance 	1
name one of king henry viii 's wives 	3
what is a firewall 	0
what country other than germany invaded poland in september 1939 	4
what is the kashmir issue 	0
what caribbean island is northeast of trinidad 	4
what is the only modern language that capitalizes its singular first person pronoun 	1
what were the first three cities to have a population of more than a million 	4
what are some good medical sites for information 	4
where is rider college 	4
where is guam 	4
what creative genius said `` everything comes to him who hustles while he waits '' 	3
how fast does the fastest car go 	5
what does nasa stand for 	2
where was the largest concentration camp in world war ii 	4
how many marx brothers were there 	5
what is the difference between hair and fur 	0
what is the origin of the candy cane at christmas 	0
when did mount st helen last have a significant eruption 	5
what was the sequel to the pink panther 	1
what product did robert conrad dare people to knock off his shoulder 	1
how do you find the area of a circle 	0
where is ayer 's rock 	4
what is the peloponnesian league 	0
what animal migrates the farthest 	1
what credit card features a centurion on its face 	1
how many russians have landed on the moon 	5
who was hitler 's minister of propaganda 	3
what is worth seeing in reims 	4
what is a hyperlink 	0
what are the top ten all time money making nfl teams 	3
what is the world 's deadliest infectious disease 	1
what 's the highest hand in straight poker 	1
